iter	MAE
0	5.023713954
1	4.895838812
2	4.764389985
3	4.636109353
4	4.52071119
5	4.406433684
6	4.291345536
7	4.178279586
8	4.073462069
9	3.96980776
10	3.873348549
11	3.774921338
12	3.681838798
13	3.595525085
14	3.507300027
1515	3.405051251616	3.323997381717	3.245740119
18	3.175208934
19	3.100970344
20	3.035048183
21	2.965994223
22	2.903286478
23	2.843351226
24	2.783157978
25	2.728844581
26	2.672603997
27	2.615117643
28	2.564355865
29	2.512210474
30	2.463179635
31	2.414108345
32	2.368314098
33	2.325304774
34	2.279413178
35	2.242282767
36	2.20090379
37	2.165636164
38	2.12689304
39	2.088600071
40	2.051486044
41	2.017244234
42	1.981803152
43	1.953148808
44	1.924140361
45	1.895036567
46	1.868216077
47	1.843982594
48	1.81373948
49	1.790489549
50	1.76743523
51	1.745286094
52	1.722176263
53	1.699794741
54	1.679637408
55	1.659288392
56	1.639047984
57	1.619278045
58	1.600717381
59	1.577937987
60	1.558963111
61	1.543834461
62	1.527521074
63	1.510868282
64	1.495307151
65	1.479972824
66	1.460407746
67	1.44623168
68	1.430895491
69	1.416811133
70	1.402337757
71	1.388356209
72	1.376863963
73	1.365479748
74	1.351305914
75	1.336937896
76	1.326422704
77	1.316363731
78	1.303684547
79	1.293675738
80	1.28301295
81	1.271431573
82	1.263664374
83	1.254464295
84	1.244628455
85	1.237031809
86	1.227547668
87	1.21737522
88	1.207602023
89	1.19904487
90	1.190916037
91	1.182934765
92	1.17404299
93	1.167311256
94	1.16067998
95	1.153912512
96	1.147359009
97	1.140848025
98	1.134865368
99	1.129974318
100	1.12585896
101	1.118505401
102	1.11281773
103	1.106967831
104	1.101970666
105	1.095646523
106	1.091177083
107	1.085922257
108	1.081095517
109	1.074800938
110	1.069228377
111	1.064326459
112	1.060404982
113	1.055216006
114	1.050272511
115	1.046978953
116	1.044211956
117	1.041386474
118	1.037410639
119	1.034245822
120	1.031563964
121	1.027893593
122	1.024674381
123	1.022186765
124	1.01851663
125	1.01429462
126	1.0101887
127	1.004666955
128	1.001400223
129	0.999559732
130	0.9968494141
131	0.9936106936
132	0.9898542405
133	0.9875923365
134	0.985662961
135	0.9786022162
136	0.9759802837
137	0.9722768911
138	0.9684004321
139	0.9629207141
140	0.9590207701
141	0.9565866081
142	0.9534392718
143	0.9522520216
144	0.9504983309
145	0.9475632184
146	0.9427912789
147	0.9408995583
148	0.938938005
149	0.9369406796
150	0.9344083333
151	0.9298093378
152	0.9254727065
153	0.9208016159
154	0.9175738136
155	0.9153626587
156	0.9133197846
157	0.911686695
158	0.9066981537
159	0.9038118234
160	0.9007536291
161	0.8981717069
162	0.8965159223
163	0.8928400906
164	0.8901511342
165	0.88426278
166	0.8812189203
167	0.8807049501
168	0.8782790163
169	0.8770845452
170	0.8731801576
171	0.871680587
172	0.8694766761
173	0.8681750488
174	0.866765664
175	0.8646624751
176	0.8635859168
177	0.8604082331
178	0.8594909037
179	0.8564810394
180	0.8545800917
181	0.8509516892
182	0.8496035842
183	0.8459325715
184	0.8449570705
185	0.8434880882
186	0.8419997046
187	0.8379723492
188	0.8355691139
189	0.8336944756
190	0.8327735297
191	0.8297516551
192	0.8277949423
193	0.8260551504
194	0.8251707836
195	0.8220138352
196	0.8215384942
197	0.8167261797
198	0.8137066817
199	0.8115664905
200	0.8097393863
201	0.8063563118
202	0.8046848392
203	0.8005571639
204	0.7986429184
205	0.7954815465
206	0.7930338631
207	0.7912420534
208	0.7899935146
209	0.7887520614
210	0.7868299164
211	0.7850953834
212	0.7829016628
213	0.7818100068
214	0.7795312603
215	0.7773117552
216	0.775821627
217	0.7730023193
218	0.7722463118
219	0.7703802491
220	0.7688459004
221	0.7670653271
222	0.7662483151
223	0.7645147845
224	0.7607513029
225	0.7592522455
226	0.7579758276
227	0.7553776314
228	0.7524817076
229	0.75174317
230	0.7498019833
231	0.7485184161
232	0.7476641245
233	0.7466103754
234	0.744594034
235	0.7435228531
236	0.7412644733
237	0.7405750602
238	0.7393002454
239	0.7380049812
240	0.7365548951
241	0.7339757706
242	0.7305518721
243	0.7296154917
244	0.7286033764
245	0.7269851511
246	0.7245288228
247	0.7228359528
248	0.721800389
249	0.7206540582
250	0.7194015667
251	0.7164652272
252	0.715415244
253	0.7130310695
254	0.7119204866
255	0.7109728079
256	0.7095859022
257	0.7083537423
258	0.7066597414
259	0.7051546325
260	0.7042542823
261	0.7034122218
262	0.7024181935
263	0.7014501051
264	0.7006128949
265	0.6995224259
266	0.6974934826
267	0.6957249986
268	0.6947747388
269	0.6938832477
270	0.6928219942
271	0.6918525674
272	0.6906452942
273	0.6898292329
274	0.6879698654
275	0.6871599877
276	0.6865109265
277	0.6855136276
278	0.6833776527
279	0.6812719449
280	0.6807959648
281	0.6798445239
282	0.6793533244
283	0.6776855086
284	0.6769388041
285	0.6759032875
286	0.6749909096
287	0.6739658973
288	0.6727677931
289	0.6699481406
290	0.6684720262
291	0.6663916657
292	0.6642393283
293	0.663631134
294	0.6628185295
295	0.6603007825
296	0.6593797668
297	0.6580955235
298	0.6572402677
299	0.6556490935
300	0.6535574861
301	0.6520257456
302	0.649614855
303	0.6475969887
304	0.6468030063
305	0.6457354738
306	0.644826808
307	0.6436403841
308	0.6422152851
309	0.640845491
310	0.6392491423
311	0.6380891231
312	0.6350505844
313	0.6337268472
314	0.6324247216
315	0.6312878538
316	0.6299399719
317	0.6290488745
318	0.6282204292
319	0.6253821574
320	0.6236768763
321	0.6215681342
322	0.6204016018
323	0.6188515384
324	0.617450645
325	0.6157495867
326	0.6140892891
327	0.613098356
328	0.6124501165
329	0.6108922518
330	0.6093513659
331	0.6076403579
332	0.6059481783
333	0.6048762349
334	0.6041758049
335	0.6034609173
336	0.6021146266
337	0.6013425079
338	0.6005839638
339	0.5994710196
340	0.5985443374
341	0.5974235994
342	0.5963483621
343	0.5959828285
344	0.5948173331
345	0.5936867956
346	0.5930358685
347	0.592361866
348	0.5912024416
349	0.5895802191
350	0.5889075992
351	0.5872401393
352	0.5860386698
353	0.5856157378
354	0.5845242413
355	0.5836057736
356	0.5831658621
357	0.5816642137
358	0.5807187539
359	0.5801609102
360	0.5789107418
361	0.5782450143
362	0.576949109
363	0.575959767
364	0.5754154251
365	0.5747842825
366	0.5736763045
367	0.5729957017
368	0.5710075164
369	0.5703280802
370	0.5689696513
371	0.5685020263
372	0.5675730916
373	0.5662182562
374	0.5654224229
375	0.5644918526
376	0.5633412425
377	0.5618655141
378	0.5615123411
379	0.5605034819
380	0.5601091107
381	0.5592939427
382	0.5583488649
383	0.5577377035
384	0.5571402179
385	0.5564829162
386	0.5559963987
387	0.5553566945
388	0.5547154916
389	0.5532463819
390	0.5517297729
391	0.5508099101
392	0.5499459481
393	0.5491188422
394	0.5479227963
395	0.546752023
396	0.5462516872
397	0.5451082329
398	0.5444427819
399	0.5433764494
400	0.5427774425
401	0.5417811265
402	0.5403520549
403	0.5396239826
404	0.5391510534
405	0.5384616996
406	0.5378528605
407	0.5368962898
408	0.5362259513
409	0.5358271598
410	0.5345611478
411	0.5338331193
412	0.5332218527
413	0.5323006392
414	0.5312274694
415	0.5304490512
416	0.5299970321
417	0.5293311804
418	0.5289321133
419	0.5286519282
420	0.5282266248
421	0.5275945818
422	0.5270797608
423	0.5266111593
424	0.5260172963
425	0.5255906787
426	0.5249864439
427	0.5242314649
428	0.5234548717
429	0.5231031243
430	0.5221900483
431	0.5213521428
432	0.5206146932
433	0.5202193833
434	0.5193642843
435	0.5187963825
436	0.5177334979
437	0.5174285842
438	0.517089006
439	0.5166379841
440	0.5158136631
441	0.5153357955
442	0.515109871
443	0.5144617981
444	0.5139272551
445	0.5134010194
446	0.51272384
447	0.5120425643
448	0.511724105
449	0.5112552551
450	0.5105133855
451	0.5099488881
452	0.5089295462
453	0.5086294016
454	0.50788414
455	0.5072475906
456	0.5068233055
457	0.5064822557
458	0.505937686
459	0.5050373294
460	0.5041932394
461	0.5036418326
462	0.5029824049
463	0.5019925599
464	0.5015456208
465	0.5010136211
466	0.5005103029
467	0.5002618237
468	0.4997866094
469	0.4991218309
470	0.4985379822
471	0.4978439091
472	0.4974119933
473	0.4971357582
474	0.4963408505
475	0.4959778098
476	0.4954204412
477	0.4949128176
478	0.4942578128
479	0.4933895051
480	0.4926083873
481	0.4917859528
482	0.4908795051
483	0.4904766058
484	0.4896255202
485	0.4889512159
486	0.4884380387
487	0.4878260278
488	0.4871704177
489	0.4864406155
490	0.4857001563
491	0.4852970485
492	0.4846894542
493	0.4839156019
494	0.4833824402
495	0.4828571499
496	0.4822828887
497	0.4821104951
498	0.4812765853
499	0.48079683501500	0.48009588502501	0.4796592503	502	0.4794469504	503	0.4789603505	504	0.4783464506	505	0.477769507	0506	0.47739508	0.507	0.47693509	0.508	0.47663510	0509	0.47611511	0.510	0.47570512	0511	0.475582513	512	0.4754035514	0.4828374374
515	0.4822746843
516	0.4816457298
517	0.4813309527
518	0.4810315437
519	0.4804744074
520	0.4800431325
521	0.4793969648
522	0.4788192863
523	0.4783983072
524	0.4779724792
525	0.4773040194
526	0.4767757678
527	0.4763130661
528	0.475880864
529	0.4751634022
530	0.4748192305
531	0.474333632
532	0.4737812197
533	0.4733555978
534	0.4728587195
535	0.4720096334
536	0.4715200882
537	0.4709241657
538	0.4705079658
539	0.4701973038
540	0.4695054115
541	0.469241854
542	0.4688778154
543	0.4681849208
544	0.4674240193
545	0.4670855111
546	0.4667956099
547	0.4665007515
548	0.4660464524
549	0.465557578
550	0.4650572182
551	0.4647699865
552	0.4641979638
553	0.4638984969
554	0.4632397064
555	0.4627052295
556	0.4624684267
557	0.4621923812
558	0.4616038799
559	0.4607957025
560	0.4602418458
561	0.4596371726
562	0.4593275242
563	0.458871783
564	0.4584284366
565	0.4578900809
566	0.4575349879
567	0.4572029427
568	0.4568915493
569	0.4565339186
570	0.4557541852
571	0.4554023812
572	0.4552798339
573	0.4545070572
574	0.4543087273
575	0.4540948912
576	0.4535252452
577	0.4532025256
578	0.4529728908
579	0.4525847831
580	0.4521131218
581	0.4517369237
582	0.4513762434
583	0.450824306
584	0.4504131445
585	0.450209712
586	0.4498104683
587	0.4494381354
588	0.4490485773
589	0.4488405142
590	0.4484322983
591	0.44801005
592	0.4477285249
593	0.4475150755
594	0.4470197021
595	0.4467903353
596	0.4463363856
597	0.4460401423
598	0.4455224296
599	0.4452282502
600	0.4449435932
601	0.4447382862
602	0.4445971596
603	0.4442377362
604	0.444079223
605	0.4437296423
606	0.4436392541
607	0.4431032249
608	0.4428609707
609	0.4423353384
610	0.4418946096
611	0.4414959787
612	0.4413330994
613	0.4410138792
614	0.4404365934
615	0.4400931115
616	0.4398282975
617	0.4396049418
618	0.4394082284
619	0.4390429051
620	0.438799046
621	0.4382008151
622	0.4380195299
623	0.4376539319
624	0.4374358627
625	0.4371880984
626	0.4368462797
627	0.4366347313
628	0.4359209428
629	0.4354901315
630	0.4353295663
631	0.4349885276
632	0.4346542507
633	0.4345531868
634	0.4343615387
635	0.4340383842
636	0.4335960106
637	0.4333162763
638	0.4330513576
639	0.4325276644
640	0.4321554711
641	0.4318509562
642	0.4316647797
643	0.4312526593
644	0.4308847792
644	0.4246495523
645	0.4241936621
646	0.4238140603
647	0.4236608643
649	0.4288675417
649	0.42280242826650	0.42230228826651	0.42170946365652	0.42158845365653	0.4213805466654	0.42125114166655	0.42094454856656	0.4208018993
657	0.420248524
658	0.4198774711
659	0.4195162453
660	0.4191255582
661	0.4188153532
662	0.4186356883
663	0.4184445923
664	0.418225129
665	0.4178472962
666	0.4174691535
667	0.417241506
668	0.416982865
669	0.4168467555
670	0.4165627554
671	0.41646105
672	0.4160579478
673	0.4158760704
674	0.4157468702
675	0.4156141235
676	0.4153436209
677	0.415050872
678	0.4147738898
679	0.4145787232
680	0.4140107474
681	0.4136705784
682	0.4132754603
683	0.4129189684
684	0.4128420386
685	0.4125214266
686	0.4123443383
687	0.4121157909
688	0.4118044576
689	0.4113652614
690	0.4110700429
691	0.4106596007
692	0.4103138818
693	0.4099336405
694	0.4098754806
695	0.4098106353
696	0.4095083652
697	0.4091583783
698	0.4088822284
699	0.4083597187
700	0.4081952181
701	0.4080081183
702	0.4076538416
703	0.40750026
704	0.4071678184
705	0.4071261702
706	0.4067041312
707	0.4065399359
708	0.4061782466
709	0.4060838533
710	0.40546044
711	0.4051545834
712	0.4049482191
713	0.4046661122
714	0.4045239003
715	0.403969881
716	0.4037860556
717	0.4035971354
718	0.4033439406
719	0.4031520972
720	0.402811384
721	0.4025913723
722	0.4022739177
723	0.4022108574
724	0.4018154405
725	0.4016177794
726	0.4013840998
727	0.4011568917
728	0.4008167318
729	0.4005469242
730	0.4004382783
731	0.4003075412
732	0.4000427699
733	0.3997609677
734	0.3996153578
735	0.399422081
736	0.3992368947
737	0.399044004
738	0.3989532374
739	0.3988130221
740	0.398592704
741	0.3984787111
742	0.3982818056
743	0.3979320163
744	0.397816984
745	0.3975400457
746	0.3971633909
747	0.3970244828
748	0.3968007565
749	0.3964635568
750	0.3964366594
751	0.3961637801
752	0.395603104
753	0.3951611936
754	0.3946895755
755	0.3945661817
756	0.394340538
757	0.3942257694
758	0.3940785727
759	0.3937117145
760	0.3934104029
761	0.3931784159
762	0.3929671402
763	0.3927358214
764	0.3925694746
765	0.3923230076
766	0.3919004101
767	0.3916459987
768	0.391538132
769	0.3914650589
770	0.3913930847
771	0.3912157961
772	0.3909641255
773	0.3906736039
774	0.3901315802
775	0.3899708331
776	0.3894498384
777	0.3893372127
778	0.3891606873
779	0.389046919
780	0.3889720333
781	0.3885771347
782	0.3884072149
783	0.3882413731
784	0.387924171
785	0.3877071325
786	0.3875224404
787	0.3874549435
788	0.3873464636
789	0.3871190421
790	0.3870121625
791	0.3868360702
792	0.3866741296
793	0.3864876834
794	0.3862751254
795	0.3862073857
796	0.3859177422
797	0.3855532542
798	0.3854286755
799	0.3851701325
7769295
799	0.3866917404
